TransactionID,Challenge,Seed,Winner
0,21,-EW6=Loxez%#cl:sBd;Esx}r)k]w|A@c,7
1,20,"{UhxlR+WH6""HS",7
2,18,"o-Si/dro9,",7
3,20,"{UhxlR+WH6""HS",7
4,19,"""eK%KeACDTd8[fOK,}GE38*X=D'S2gb",14
5,20,"{UhxlR+WH6""HS",7
6,21,-EW6=Loxez%#cl:sBd;Esx}r)k]w|A@c,7
7,19,"""eK%KeACDTd8[fOK,}GE38*X=D'S2gb",14
8,18,"o-Si/dro9,",14
9,18,"o-Si/dro9,",14
10,18,"o-Si/dro9,",14
11,19,"""eK%KeACDTd8[fOK,}GE38*X=D'S2gb",14
12,18,"o-Si/dro9,",14
13,19,"""eK%KeACDTd8[fOK,}GE38*X=D'S2gb",7
14,21,-EW6=Loxez%#cl:sBd;Esx}r)k]w|A@c,14
15,20,"{UhxlR+WH6""HS",14
16,18,"o-Si/dro9,",14
17,21,-EW6=Loxez%#cl:sBd;Esx}r)k]w|A@c,14
18,19,"""eK%KeACDTd8[fOK,}GE38*X=D'S2gb",14
19,21,-EW6=Loxez%#cl:sBd;Esx}r)k]w|A@c,14
20,19,"""eK%KeACDTd8[fOK,}GE38*X=D'S2gb",14
21,21,-EW6=Loxez%#cl:sBd;Esx}r)k]w|A@c,7
22,19,1TF&vPjegN:*;tBjs{W:nH'n>,7
23,19,"""eK%KeACDTd8[fOK,}GE38*X=D'S2gb",14
24,20,"{UhxlR+WH6""HS",7
25,19,"""eK%KeACDTd8[fOK,}GE38*X=D'S2gb",14
26,21,-EW6=Loxez%#cl:sBd;Esx}r)k]w|A@c,7
27,18, ,-1
